setting,seed,p,K,spearman_before,spearman_after,camera_ttc,license_ttc
baseline,15,0.1,3,0.699319,0.717925,,
baseline,15,0.1,5,,,,
baseline,15,0.25,1,,,,
baseline,15,0.25,3,0.699319,0.773518,,
baseline,15,0.25,5,,,,
baseline,15,0.5,1,,,,
baseline,15,0.5,3,0.699319,0.786727,,
baseline,15,0.5,5,,,,
baseline,15,1,1,,,7,
baseline,15,1,3,0.699319,0.796322,,
baseline,15,1,5,,,,
baseline,16,0,1,,,,
baseline,16,0,3,0.683858,0.717109,,
baseline,16,0,5,,,,
baseline,16,0.1,1,,,,
baseline,16,0.1,3,0.683858,0.70923,,
baseline,16,0.1,5,,,,
baseline,16,0.25,1,,,,
baseline,16,0.25,3,0.683858,0.764096,,
baseline,16,0.25,5,,,,
baseline,16,0.5,1,,,,
baseline,16,0.5,3,0.683858,0.740482,,
baseline,16,0.5,5,,,,
baseline,16,1,1,,,,
baseline,16,1,3,0.683858,0.735991,,
baseline,16,1,5,,,,
baseline,17,0,1,,,,
baseline,17,0,3,0.743276,0.6795,,
baseline,17,0,5,,,,
baseline,17,0.1,1,,,,
baseline,17,0.1,3,0.743276,0.663079,,
baseline,17,0.1,5,,,,
baseline,17,0.25,1,,,,
baseline,17,0.25,3,0.743276,0.725367,,
baseline,17,0.25,5,,,,
baseline,17,0.5,1,,,,
baseline,17,0.5,3,0.743276,0.674029,,
baseline,17,0.5,5,,,,
baseline,17,1,1,,,,
baseline,17,1,3,0.743276,0.721363,,
baseline,17,1,5,,,,
baseline,18,0,1,,,,
baseline,18,0,3,0.665828,0.742384,,
baseline,18,0,5,,,,
baseline,18,0.1,1,,,,
baseline,18,0.1,3,0.665828,0.792745,,
baseline,18,0.1,5,,,,
baseline,18,0.25,1,,,,
baseline,18,0.25,3,0.665828,0.74835,,
baseline,18,0.25,5,,,,
baseline,18,0.5,1,,,,
baseline,18,0.5,3,0.665828,0.746452,,
baseline,18,0.5,5,,,,
baseline,18,1,1,,,,
baseline,18,1,3,0.665828,0.730087,,
baseline,18,1,5,,,,
baseline,19,0,1,,,,
baseline,19,0,3,0.750801,0.758239,,
baseline,19,0,5,,,,
baseline,19,0.1,1,,,,
baseline,19,0.1,3,0.750801,0.786226,,
baseline,19,0.1,5,,,,
baseline,19,0.25,1,,,,
baseline,19,0.25,3,0.750801,0.824492,,
baseline,19,0.25,5,,,,
baseline,19,0.5,1,,,,
baseline,19,0.5,3,0.750801,0.845161,,
baseline,19,0.5,5,,,,
baseline,19,1,1,,,,
baseline,19,1,3,0.750801,0.729115,,
baseline,19,1,5,,,,
camera=0.1,0,0,3,0.676947,0.770248,,
camera=0.1,0,0.1,3,0.676947,0.791399,,
camera=0.1,0,0.25,3,0.676947,0.838848,,
camera=0.1,0,0.5,3,0.676947,0.858228,,
camera=0.1,0,1,3,0.676947,0.71196,,
camera=0.1,1,0,3,0.751635,0.714987,,
camera=0.1,1,0.1,3,0.751635,0.775868,,
camera=0.1,1,0.25,3,0.751635,0.791998,,
camera=0.1,1,0.5,3,0.751635,0.82109,,
camera=0.1,1,1,3,0.751635,0.656643,,
camera=0.1,2,0,3,0.633673,0.683709,,
camera=0.1,2,0.1,3,0.633673,0.742355,,
camera=0.1,2,0.25,3,0.633673,0.829739,,
camera=0.1,2,0.5,3,0.633673,0.875537,,
camera=0.1,2,1,3,0.633673,0.814863,,
camera=0.1,3,0,3,0.690116,0.763488,,
camera=0.1,3,0.1,3,0.690116,0.815961,,
camera=0.1,3,0.25,3,0.690116,0.835082,,
camera=0.1,3,0.5,3,0.690116,0.856491,,
camera=0.1,3,1,3,0.690116,0.785,,
camera=0.1,4,0,3,0.753426,0.715271,,
camera=0.1,4,0.1,3,0.753426,0.72706,,
camera=0.1,4,0.25,3,0.753426,0.783617,,
camera=0.1,4,0.5,3,0.753426,0.709732,,
camera=0.1,4,1,3,0.753426,0.775525,,
camera=0.1,5,0,3,0.639918,0.61299,,
camera=0.1,5,0.1,3,0.639918,0.605821,,
camera=0.1,5,0.25,3,0.639918,0.709533,,
camera=0.1,5,0.5,3,0.639918,0.758162,,
camera=0.1,5,1,3,0.639918,0.801621,,
camera=0.1,6,0,3,0.739352,0.746527,,
camera=0.1,6,0.1,3,0.739352,0.748593,,
camera=0.1,6,0.25,3,0.739352,0.813109,,
camera=0.1,6,0.5,3,0.739352,0.78365,,
camera=0.1,6,1,3,0.739352,0.769144,,
camera=0.1,7,0,3,0.725601,0.72474,,
camera=0.1,7,0.1,3,0.725601,0.696784,,
camera=0.1,7,0.25,3,0.725601,0.722172,,
camera=0.1,7,0.5,3,0.725601,0.736007,,
camera=0.1,7,1,3,0.725601,0.722121,,
camera=0.1,8,0,3,0.686986,0.575811,,
camera=0.1,8,0.1,3,0.686986,0.566927,,
camera=0.1,8,0.25,3,0.686986,0.588937,,
camera=0.1,8,0.5,3,0.686986,0.649033,,
camera=0.1,8,1,3,0.686986,0.761327,,
camera=0.1,9,0,3,0.743362,0.682995,,
camera=0.1,9,0.1,3,0.743362,0.680941,,
camera=0.1,9,0.25,3,0.743362,0.668665,,
camera=0.1,9,0.5,3,0.743362,0.753452,,
camera=0.1,9,1,3,0.743362,0.791046,,
camera=0.1,10,0,3,0.622299,0.745945,,
camera=0.1,10,0.1,3,0.622299,0.774312,,
camera=0.1,10,0.25,3,0.622299,0.783935,,
camera=0.1,10,0.5,3,0.622299,0.837029,,
camera=0.1,10,1,3,0.622299,0.808865,,
camera=0.1,11,0,3,0.77722,0.739951,,
camera=0.1,11,0.1,3,0.77722,0.755424,,
camera=0.1,11,0.25,3,0.77722,0.77445,,
camera=0.1,11,0.5,3,0.77722,0.803624,,
camera=0.1,11,1,3,0.77722,0.83788,,
camera=0.1,12,0,3,0.631871,0.682408,,
camera=0.1,12,0.1,3,0.631871,0.748471,,
camera=0.1,12,0.25,3,0.631871,0.77835,,
camera=0.1,12,0.5,3,0.631871,0.782367,,
camera=0.1,12,1,3,0.631871,0.735596,,
camera=0.1,13,0,3,0.756707,0.68239,,
camera=0.1,13,0.1,3,0.756707,0.709227,,
camera=0.1,13,0.25,3,0.756707,0.753815,,
camera=0.1,13,0.5,3,0.756707,0.751844,,
camera=0.1,13,1,3,0.756707,0.675631,,
camera=0.1,14,0,3,0.671318,0.701789,,
camera=0.1,14,0.1,3,0.671318,0.743444,,
camera=0.1,14,0.25,3,0.671318,0.762496,,
camera=0.1,14,0.5,3,0.671318,0.795784,,
camera=0.1,14,1,3,0.671318,0.664985,,
camera=0.1,15,0,3,0.719933,0.708848,,
camera=0.1,15,0.1,3,0.719933,0.722083,,
camera=0.1,15,0.25,3,0.719933,0.779771,,
camera=0.1,15,0.5,3,0.719933,0.791678,,
camera=0.1,15,1,3,0.719933,0.803629,,
camera=0.1,16,0,3,0.705412,0.751944,,
camera=0.1,16,0.1,3,0.705412,0.760343,,
camera=0.1,16,0.25,3,0.705412,0.815514,,
camera=0.1,16,0.5,3,0.705412,0.829982,,
camera=0.1,16,1,3,0.705412,0.801652,,
camera=0.1,17,0,3,0.762512,0.693198,,
camera=0.1,17,0.1,3,0.762512,0.707901,,
camera=0.1,17,0.25,3,0.762512,0.730985,,
camera=0.1,17,0.5,3,0.762512,0.719447,,
camera=0.1,17,1,3,0.762512,0.771611,,
camera=0.1,18,0,3,0.677088,0.727164,,
camera=0.1,18,0.1,3,0.677088,0.783233,,
camera=0.1,18,0.25,3,0.677088,0.7642,,
camera=0.1,18,0.5,3,0.677088,0.810276,,
camera=0.1,18,1,3,0.677088,0.784313,,
camera=0.1,19,0,3,0.774475,0.769065,,
camera=0.1,19,0.1,3,0.774475,0.799054,,
camera=0.1,19,0.25,3,0.774475,0.842875,,
camera=0.1,19,0.5,3,0.774475,0.855648,,
camera=0.1,19,1,3,0.774475,0.72847,,
license=0.1,0,0,3,0.692295,0.761641,,
license=0.1,0,0.1,3,0.692295,0.778584,,
license=0.1,0,0.25,3,0.692295,0.818121,,
license=0.1,0,0.5,3,0.692295,0.820533,,
license=0.1,0,1,3,0.692295,0.707139,,
license=0.1,1,0,3,0.729161,0.71114,,
license=0.1,1,0.1,3,0.729161,0.784401,,
license=0.1,1,0.25,3,0.729161,0.814639,,
license=0.1,1,0.5,3,0.729161,0.843237,,
license=0.1,1,1,3,0.729161,0.693036,,
license=0.1,2,0,3,0.665639,0.674511,,
license=0.1,2,0.1,3,0.665639,0.741009,,
license=0.1,2,0.25,3,0.665639,0.793906,,
license=0.1,2,0.5,3,0.665639,0.86421,,
license=0.1,2,1,3,0.665639,0.798885,,
license=0.1,3,0,3,0.690771,0.757331,,
license=0.1,3,0.1,3,0.690771,0.828601,,
license=0.1,3,0.25,3,0.690771,0.861753,,
license=0.1,3,0.5,3,0.690771,0.866217,,
license=0.1,3,1,3,0.690771,0.738564,,
license=0.1,4,0,3,0.778226,0.693483,,
license=0.1,4,0.1,3,0.778226,0.705131,,
license=0.1,4,0.25,3,0.778226,0.756356,,
license=0.1,4,0.5,3,0.778226,0.7277,,
license=0.1,4,1,3,0.778226,0.773463,,
license=0.1,5,0,3,0.606488,0.612943,,
license=0.1,5,0.1,3,0.606488,0.627465,,
license=0.1,5,0.25,3,0.606488,0.717911,,
license=0.1,5,0.5,3,0.606488,0.8036,,
license=0.1,5,1,3,0.606488,0.827167,,
license=0.1,6,0,3,0.749048,0.734011,,
license=0.1,6,0.1,3,0.749048,0.768714,,
license=0.1,6,0.25,3,0.749048,0.820406,,
license=0.1,6,0.5,3,0.749048,0.766454,,
license=0.1,6,1,3,0.749048,0.682535,,
license=0.1,7,0,3,0.67994,0.704566,,
license=0.1,7,0.1,3,0.67994,0.695598,,
license=0.1,7,0.25,3,0.67994,0.762476,,
license=0.1,7,0.5,3,0.67994,0.742199,,
license=0.1,7,1,3,0.67994,0.749789,,
license=0.1,8,0,3,0.676741,0.554882,,
license=0.1,8,0.1,3,0.676741,0.582086,,
license=0.1,8,0.25,3,0.676741,0.631991,,
license=0.1,8,0.5,3,0.676741,0.731223,,
license=0.1,8,1,3,0.676741,0.805899,,
license=0.1,9,0,3,0.739243,0.659391,,
license=0.1,9,0.1,3,0.739243,0.665584,,
license=0.1,9,0.25,3,0.739243,0.652445,,
license=0.1,9,0.5,3,0.739243,0.785004,,
license=0.1,9,1,3,0.739243,0.806808,,
license=0.1,10,0,3,0.597634,0.726138,,
license=0.1,10,0.1,3,0.597634,0.772118,,
license=0.1,10,0.25,3,0.597634,0.818423,,
license=0.1,10,0.5,3,0.597634,0.843055,,
license=0.1,10,1,3,0.597634,0.839269,,
license=0.1,11,0,3,0.74297,0.75115,,
license=0.1,11,0.1,3,0.74297,0.764076,,
license=0.1,11,0.25,3,0.74297,0.777288,,
license=0.1,11,0.5,3,0.74297,0.812509,,
license=0.1,11,1,3,0.74297,0.840143,,
license=0.1,12,0,3,0.584405,0.63565,,
license=0.1,12,0.1,3,0.584405,0.737397,,
license=0.1,12,0.25,3,0.584405,0.783514,,
license=0.1,12,0.5,3,0.584405,0.801319,,
license=0.1,12,1,3,0.584405,0.754279,,
license=0.1,13,0,3,0.736355,0.66969,,
license=0.1,13,0.1,3,0.736355,0.698532,,
license=0.1,13,0.25,3,0.736355,0.719299,,
license=0.1,13,0.5,3,0.736355,0.719932,,
license=0.1,13,1,3,0.736355,0.687892,,
license=0.1,14,0,3,0.681534,0.691977,,
license=0.1,14,0.1,3,0.681534,0.713426,,
license=0.1,14,0.25,3,0.681534,0.737033,,
license=0.1,14,0.5,3,0.681534,0.756711,,
license=0.1,14,1,3,0.681534,0.687537,,
license=0.1,15,0,3,0.672779,0.687809,,
license=0.1,15,0.1,3,0.672779,0.732261,,
license=0.1,15,0.25,3,0.672779,0.780812,,
license=0.1,15,0.5,3,0.672779,0.814701,,
license=0.1,15,1,3,0.672779,0.822643,,
license=0.1,16,0,3,0.722888,0.745642,,
license=0.1,16,0.1,3,0.722888,0.719445,,
license=0.1,16,0.25,3,0.722888,0.794632,,
license=0.1,16,0.5,3,0.722888,0.759423,,
license=0.1,16,1,3,0.722888,0.742628,,
license=0.1,17,0,3,0.747421,0.667941,,
license=0.1,17,0.1,3,0.747421,0.686272,,
license=0.1,17,0.25,3,0.747421,0.725279,,
license=0.1,17,0.5,3,0.747421,0.732509,,
license=0.1,17,1,3,0.747421,0.790142,,
license=0.1,18,0,3,0.709745,0.727611,,
license=0.1,18,0.1,3,0.709745,0.773106,,
license=0.1,18,0.25,3,0.709745,0.760383,,
license=0.1,18,0.5,3,0.709745,0.782363,,
license=0.1,18,1,3,0.709745,0.754946,,
license=0.1,19,0,3,0.775496,0.74756,,
license=0.1,19,0.1,3,0.775496,0.787366,,
license=0.1,19,0.25,3,0.775496,0.831123,,
license=0.1,19,0.5,3,0.775496,0.865591,,
license=0.1,19,1,3,0.775496,0.739965,,
camera=0.3,0,0,3,0.726237,0.775169,,
camera=0.3,0,0.1,3,0.726237,0.810869,,
camera=0.3,0,0.25,3,0.726237,0.851593,,
camera=0.3,0,0.5,3,0.726237,0.868647,,
camera=0.3,0,1,3,0.726237,0.693188,,
camera=0.3,1,0,3,0.796102,0.764458,,
camera=0.3,1,0.1,3,0.796102,0.785263,,
camera=0.3,1,0.25,3,0.796102,0.783473,,
camera=0.3,1,0.5,3,0.796102,0.813339,,
camera=0.3,1,1,3,0.796102,0.684568,,
camera=0.3,2,0,3,0.674665,0.749202,,
camera=0.3,2,0.1,3,0.674665,0.809819,,
camera=0.3,2,0.25,3,0.674665,0.873668,,
camera=0.3,2,0.5,3,0.674665,0.897891,,
camera=0.3,2,1,3,0.674665,0.821823,,
camera=0.3,3,0,3,0.691211,0.788781,,
camera=0.3,3,0.1,3,0.691211,0.844135,,
camera=0.3,3,0.25,3,0.691211,0.869336,,
camera=0.3,3,0.5,3,0.691211,0.867231,,
camera=0.3,3,1,3,0.691211,0.784036,,
camera=0.3,4,0,3,0.766877,0.762954,,
camera=0.3,4,0.1,3,0.766877,0.782058,,
camera=0.3,4,0.25,3,0.766877,0.8218,,
camera=0.3,4,0.5,3,0.766877,0.816037,,
camera=0.3,4,1,3,0.766877,0.835749,,
camera=0.3,5,0,3,0.693606,0.664718,,
camera=0.3,5,0.1,3,0.693606,0.677504,,
camera=0.3,5,0.25,3,0.693606,0.728525,,
camera=0.3,5,0.5,3,0.693606,0.798122,,
camera=0.3,5,1,3,0.693606,0.832637,,
camera=0.3,6,0,3,0.755692,0.78779,,
camera=0.3,6,0.1,3,0.755692,0.807049,,
camera=0.3,6,0.25,3,0.755692,0.865332,,
camera=0.3,6,0.5,3,0.755692,0.846488,,
camera=0.3,6,1,3,0.755692,0.764275,,
camera=0.3,7,0,3,0.736483,0.735044,,
camera=0.3,7,0.1,3,0.736483,0.753871,,
camera=0.3,7,0.25,3,0.736483,0.778776,,
camera=0.3,7,0.5,3,0.736483,0.770368,,
camera=0.3,7,1,3,0.736483,0.712596,,
camera=0.3,8,0,3,0.700839,0.663698,,
camera=0.3,8,0.1,3,0.700839,0.653647,,
camera=0.3,8,0.25,3,0.700839,0.696781,,
camera=0.3,8,0.5,3,0.700839,0.743148,,
camera=0.3,8,1,3,0.700839,0.749301,,
camera=0.3,9,0,3,0.752091,0.712805,,
camera=0.3,9,0.1,3,0.752091,0.679893,,
camera=0.3,9,0.25,3,0.752091,0.659136,,
camera=0.3,9,0.5,3,0.752091,0.762809,,
camera=0.3,9,1,3,0.752091,0.811982,,
camera=0.3,10,0,3,0.649316,0.767977,,
camera=0.3,10,0.1,3,0.649316,0.769415,,
camera=0.3,10,0.25,3,0.649316,0.813219,,
camera=0.3,10,0.5,3,0.649316,0.848346,,
camera=0.3,10,1,3,0.649316,0.829691,,
camera=0.3,11,0,3,0.806195,0.75186,,
camera=0.3,11,0.1,3,0.806195,0.766118,,
camera=0.3,11,0.25,3,0.806195,0.790046,,
camera=0.3,11,0.5,3,0.806195,0.83681,,
camera=0.3,11,1,3,0.806195,0.779165,,
camera=0.3,12,0,3,0.70485,0.737231,,
camera=0.3,12,0.1,3,0.70485,0.769565,,
camera=0.3,12,0.25,3,0.70485,0.757796,,
camera=0.3,12,0.5,3,0.70485,0.762031,,
camera=0.3,12,1,3,0.70485,0.685822,,
camera=0.3,13,0,3,0.755995,0.73154,,
camera=0.3,13,0.1,3,0.755995,0.766557,,
camera=0.3,13,0.25,3,0.755995,0.787939,,
camera=0.3,13,0.5,3,0.755995,0.820304,,
camera=0.3,13,1,3,0.755995,0.687326,,
camera=0.3,14,0,3,0.737179,0.772824,,
camera=0.3,14,0.1,3,0.737179,0.811538,,
camera=0.3,14,0.25,3,0.737179,0.808223,,
camera=0.3,14,0.5,3,0.737179,0.830437,6,
camera=0.3,14,1,3,0.737179,0.668165,,
camera=0.3,15,0,3,0.774484,0.752643,,
camera=0.3,15,0.1,3,0.774484,0.758372,,
camera=0.3,15,0.25,3,0.774484,0.798077,,
camera=0.3,15,0.5,3,0.774484,0.809378,,
camera=0.3,15,1,3,0.774484,0.815003,,
camera=0.3,16,0,3,0.73645,0.774959,,
camera=0.3,16,0.1,3,0.73645,0.792321,,
camera=0.3,16,0.25,3,0.73645,0.842986,,
camera=0.3,16,0.5,3,0.73645,0.859984,,
camera=0.3,16,1,3,0.73645,0.810148,,
camera=0.3,17,0,3,0.808568,0.728045,,
camera=0.3,17,0.1,3,0.808568,0.742803,,
camera=0.3,17,0.25,3,0.808568,0.759273,,
camera=0.3,17,0.5,3,0.808568,0.741918,,
camera=0.3,17,1,3,0.808568,0.778816,,
camera=0.3,18,0,3,0.722805,0.76602,,
camera=0.3,18,0.1,3,0.722805,0.808052,,
camera=0.3,18,0.25,3,0.722805,0.822584,,
camera=0.3,18,0.5,3,0.722805,0.838113,,
camera=0.3,18,1,3,0.722805,0.759751,4,
camera=0.3,19,0,3,0.783648,0.807158,,
camera=0.3,19,0.1,3,0.783648,0.823442,,
camera=0.3,19,0.25,3,0.783648,0.862039,,
camera=0.3,19,0.5,3,0.783648,0.860035,,
camera=0.3,19,1,3,0.783648,0.743912,,
license=0.3,0,0,3,0.757738,0.761936,,
license=0.3,0,0.1,3,0.757738,0.776752,,
license=0.3,0,0.25,3,0.757738,0.813718,,
license=0.3,0,0.5,3,0.757738,0.846526,,
license=0.3,0,1,3,0.757738,0.705412,,
license=0.3,1,0,3,0.752426,0.730822,,
license=0.3,1,0.1,3,0.752426,0.781593,,
license=0.3,1,0.25,3,0.752426,0.824447,,
license=0.3,1,0.5,3,0.752426,0.861001,,
license=0.3,1,1,3,0.752426,0.732251,,
license=0.3,2,0,3,0.700783,0.716867,,
license=0.3,2,0.1,3,0.700783,0.776165,,
license=0.3,2,0.25,3,0.700783,0.814007,,
license=0.3,2,0.5,3,0.700783,0.833897,,
license=0.3,2,1,3,0.700783,0.798641,,
license=0.3,3,0,3,0.694219,0.782972,,
license=0.3,3,0.1,3,0.694219,0.84545,,
license=0.3,3,0.25,3,0.694219,0.865264,,
license=0.3,3,0.5,3,0.694219,0.848115,,
license=0.3,3,1,3,0.694219,0.777157,,
license=0.3,4,0,3,0.811926,0.686327,,
license=0.3,4,0.1,3,0.811926,0.71898,,
license=0.3,4,0.25,3,0.811926,0.740929,,
license=0.3,4,0.5,3,0.811926,0.712331,,
license=0.3,4,1,3,0.811926,0.77166,,
license=0.3,5,0,3,0.599322,0.643513,,
license=0.3,5,0.1,3,0.599322,0.654465,,
license=0.3,5,0.25,3,0.599322,0.743383,,
license=0.3,5,0.5,3,0.599322,0.848471,,
license=0.3,5,1,3,0.599322,0.854112,,
license=0.3,6,0,3,0.779056,0.781519,,
license=0.3,6,0.1,3,0.779056,0.786252,,
